,field,avarage_descent_depth
0,1,1856.940959409594
1,2,1856.940959409594
2,3,2040.291347753744
3,4,1938.9928571428568
4,5,2665.289617486339
5,6,2374.8888888888887
6,7,2458.244897959184
7,8,2547.2272727272725
8,9,2287.0
9,10,2212.269230769231
10,11,1731.22748564868
11,12,1731.22748564868
12,13,1759.1478743068392
13,14,1820.0
14,15,1679.22
15,16,1679.22
16,17,2706.294117647059
17,18,2571.0
18,19,2495.1735537190084
19,20,2236.5216216216218
20,21,2467.967741935484
21,22,2124.5
22,23,2243.1666666666665
23,24,2252.0
24,25,2129.0
25,26,2660.0
26,27,2611.413043478261
27,28,2236.5216216216218
28,29,2472.55913978495
29,30,2321.0
30,31,2780.0
31,32,1791.4222222222222
32,33,2689.7822814498936
